compressionLevel,seconds,megabytes
1,23.786799907684326,515.0595273971558
2,24.638799905776978,509.2897539138794
3,36.74440002441406,497.05048274993896
4,39.125,491.2650146484375
5,47.14479994773865,485.31742763519287
6,87.52439999580383,478.47225761413574
7,134.45379996299744,473.5374069213867
8,205.11999988555908,466.41104316711426
9,256.313600063324,462.1645698547363
